Season,Links
2007,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/270282294
2007,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/270310084
2007,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/270340275
2007,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/270380213
2007,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/270410275
2007,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/270450135
2007,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/270480275
2007,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/270510127
2007,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/270560194
2007,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/270620275
2007,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/270680275
2007,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/270690275
2007,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/270700194
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/284000009
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/284000010
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/284000014
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/273150275
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/273190275
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/273200275
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/273210275
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/273280275
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/273310150
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/273370275
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/273420275
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/273460270
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/273490275
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/273560275
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/273630251
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/280020130
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/280050275
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/280100275
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/280150213
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/280190275
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/280220275
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/280262509
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/280310275
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/280340135
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/280372294
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/280400275
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/280440084
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/280470275
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/280510356
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/280550194
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/280590275
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/280650275
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/280680077
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/280740275
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/280750275
2008,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/280760275
2009,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/294000019
2009,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/294000021
2009,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/283210275
2009,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/283230275
2009,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/283260275
2009,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/283280275
2009,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/283290275
2009,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/283340275
2009,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/283360259
2009,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/283410269
2009,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/283440275
2009,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/283480275
2009,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/283550275
2009,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/283580275
2009,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/283660130
2009,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/290030275
2009,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/290070275
2009,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/290112509
2009,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/290150275
2009,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/290212294
2009,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/290240356
2009,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/290270275
2009,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/290310077
2009,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/290360275
2009,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/290390213
2009,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/290420275
2009,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/290450275
2009,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/290500084
2009,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/290530127
2009,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/290600275
2009,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/290630135
2009,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/290680275
2009,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/290720275
2010,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/300780275
2010,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/300800275
2010,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/293200275
2010,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/293230275
2010,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/293270275
2010,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/293280275
2010,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/293290275
2010,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/293360275
2010,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/293400275
2010,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/293432739
2010,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/293460275
2010,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/293510275
2010,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/293580275
2010,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/293620275
2010,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/293650275
2010,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/300030213
2010,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/300060127
2010,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/300090275
2010,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/300130077
2010,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/300160194
2010,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/300200275
2010,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/300240275
2010,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/300282509
2010,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/300330275
2010,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/300370130
2010,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/300400275
2010,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/300440275
2010,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/300490135
2010,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/300520275
2010,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/300560084
2010,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/300620275
2010,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/300650356
2010,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/300710275
2011,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/310760275
2011,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/310780275
2011,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/310830275
2011,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/303180275
2011,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/303200275
2011,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/303242439
2011,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/303292363
2011,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/303300275
2011,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/303320087
2011,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/303350275
2011,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/303380275
2011,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/303420275
2011,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/303450269
2011,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/303470275
2011,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/303570275
2011,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/303620275
2011,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/310020356
2011,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/310050275
2011,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/310110127
2011,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/310150275
2011,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/310200275
2011,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/310230077
2011,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/310290213
2011,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/310320275
2011,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/310370275
2011,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/310402294
2011,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/310430275
2011,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/310472509
2011,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/310510275
2011,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/310540130
2011,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/310580275
2011,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/310610084
2011,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/310650194
2011,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/310700275
2012,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/320750275
2012,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/320770275
2012,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/320820183
2012,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/313160275
2012,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/313200275
2012,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/313230275
2012,https://www.espn.com/mens-college-basketball/boxscore/_/gameId/313260275
